timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
2016-10-17T16:50:11.449+0000,129,HTTP Request,200,Thread Group 1-821,true,14848,5,5,96,1,0,cb15f68f197f,0
2016-10-17T16:50:11.490+0000,135,HTTP Request,200,Thread Group 1-820,true,13536,5,5,130,1,0,cb15f68f197f,0
2016-10-17T16:50:11.500+0000,129,HTTP Request,200,Thread Group 1-822,true,13615,5,5,107,1,0,cb15f68f197f,0
2016-10-17T16:50:11.525+0000,116,HTTP Request,200,Thread Group 1-823,true,13511,5,5,111,1,0,cb15f68f197f,0
2016-10-17T16:50:11.574+0000,83,HTTP Request,200,Thread Group 1-824,true,13548,5,5,81,1,0,cb15f68f197f,0
2016-10-17T16:50:11.578+0000,130,HTTP Request,200,Thread Group 1-821,true,13533,6,6,90,1,0,cb15f68f197f,0
2016-10-17T16:50:11.642+0000,97,HTTP Request,200,Thread Group 1-823,true,13541,6,6,87,1,0,cb15f68f197f,0
2016-10-17T16:50:11.630+0000,112,HTTP Request,200,Thread Group 1-822,true,13543,5,5,111,1,0,cb15f68f197f,0
2016-10-17T16:50:11.628+0000,115,HTTP Request,200,Thread Group 1-825,true,13518,5,5,96,1,0,cb15f68f197f,0
2016-10-17T16:50:11.676+0000,83,HTTP Request,200,Thread Group 1-826,true,13536,4,4,83,1,0,cb15f68f197f,0
2016-10-17T16:50:11.657+0000,103,HTTP Request,200,Thread Group 1-824,true,13569,4,4,102,1,0,cb15f68f197f,0
2016-10-17T16:50:11.743+0000,129,HTTP Request,200,Thread Group 1-825,true,13604,5,5,87,1,0,cb15f68f197f,0
2016-10-17T16:50:11.728+0000,151,HTTP Request,200,Thread Group 1-827,true,13447,5,5,95,1,0,cb15f68f197f,0
2016-10-17T16:50:11.776+0000,124,HTTP Request,200,Thread Group 1-828,true,13470,5,5,103,1,0,cb15f68f197f,0
2016-10-17T16:50:11.759+0000,149,HTTP Request,200,Thread Group 1-826,true,13526,5,5,114,1,0,cb15f68f197f,0
2016-10-17T16:50:11.878+0000,91,HTTP Request,200,Thread Group 1-830,true,13529,5,5,88,1,0,cb15f68f197f,0
2016-10-17T16:50:11.830+0000,145,HTTP Request,200,Thread Group 1-829,true,13519,5,5,140,1,0,cb15f68f197f,0
2016-10-17T16:50:11.879+0000,109,HTTP Request,200,Thread Group 1-827,true,13542,6,6,71,1,0,cb15f68f197f,0
2016-10-17T16:50:11.929+0000,87,HTTP Request,200,Thread Group 1-831,true,13527,5,5,78,1,0,cb15f68f197f,0
2016-10-17T16:50:11.900+0000,117,HTTP Request,200,Thread Group 1-828,true,13575,5,5,76,1,0,cb15f68f197f,0
2016-10-17T16:50:11.970+0000,78,HTTP Request,200,Thread Group 1-830,true,13557,5,5,75,1,0,cb15f68f197f,0
2016-10-17T16:50:11.975+0000,76,HTTP Request,200,Thread Group 1-829,true,13544,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:11.978+0000,81,HTTP Request,200,Thread Group 1-832,true,13527,3,3,75,1,0,cb15f68f197f,0
2016-10-17T16:50:12.016+0000,72,HTTP Request,200,Thread Group 1-831,true,13610,4,4,69,1,0,cb15f68f197f,0
2016-10-17T16:50:12.030+0000,85,HTTP Request,200,Thread Group 1-833,true,13495,3,3,82,1,0,cb15f68f197f,0
2016-10-17T16:50:12.059+0000,95,HTTP Request,200,Thread Group 1-832,true,13503,4,4,93,1,0,cb15f68f197f,0
2016-10-17T16:50:12.080+0000,89,HTTP Request,200,Thread Group 1-834,true,13557,3,3,87,1,0,cb15f68f197f,0
2016-10-17T16:50:12.115+0000,78,HTTP Request,200,Thread Group 1-833,true,13527,4,4,76,1,0,cb15f68f197f,0
2016-10-17T16:50:12.131+0000,93,HTTP Request,200,Thread Group 1-835,true,13569,3,3,90,1,0,cb15f68f197f,0
2016-10-17T16:50:12.170+0000,73,HTTP Request,200,Thread Group 1-834,true,13501,4,4,71,1,0,cb15f68f197f,0
2016-10-17T16:50:12.179+0000,82,HTTP Request,200,Thread Group 1-836,true,13543,3,3,81,1,0,cb15f68f197f,0
2016-10-17T16:50:12.224+0000,76,HTTP Request,200,Thread Group 1-835,true,13571,4,4,71,1,0,cb15f68f197f,0
2016-10-17T16:50:12.230+0000,80,HTTP Request,200,Thread Group 1-837,true,13521,3,3,79,1,0,cb15f68f197f,0
2016-10-17T16:50:12.261+0000,76,HTTP Request,200,Thread Group 1-836,true,13519,4,4,73,1,0,cb15f68f197f,0
2016-10-17T16:50:12.282+0000,97,HTTP Request,200,Thread Group 1-838,true,13567,3,3,85,1,0,cb15f68f197f,0
2016-10-17T16:50:12.311+0000,77,HTTP Request,200,Thread Group 1-837,true,13496,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:12.331+0000,77,HTTP Request,200,Thread Group 1-839,true,13512,3,3,73,1,0,cb15f68f197f,0
2016-10-17T16:50:12.380+0000,87,HTTP Request,200,Thread Group 1-838,true,13518,4,4,85,1,0,cb15f68f197f,0
2016-10-17T16:50:12.382+0000,85,HTTP Request,200,Thread Group 1-840,true,13566,4,4,79,1,0,cb15f68f197f,0
2016-10-17T16:50:12.408+0000,109,HTTP Request,200,Thread Group 1-839,true,13551,4,4,76,1,0,cb15f68f197f,0
